0,60,34,60,27,483,0,483,
34,60,55,60,28,482,27,482,
55,60,131,60,117,483,28,483,
131,67,383,67,410,481,117,481,
419,60,460,60,497,477,451,477,
460,60,499,60,539,477,497,477,
499,60,533,60,580,475,538,475,
533,62,571,62,620,475,580,475,
571,62,605,62,661,473,620,473,
605,60,641,60,698,471,661,471,
641,63,673,63,732,471,698,471,
673,60,704,60,766,471,732,471,
705,69,743,69,798,469,766,469,
741,60,775,60,834,469,798,469,
775,60,811,60,869,466,834,466,
814,81,849,81,906,466,869,466,
849,84,887,84,945,465,906,465,
885,76,922,76,979,464,944,464,
921,68,952,68,1017,463,979,463,
954,83,992,83,1053,463,1017,463,
988,60,1025,60,1089,461,1053,461,
1025,60,1060,60,1123,460,1089,460,
1060,60,1091,60,1156,458,1122,458,
1093,68,1124,68,1188,458,1156,458,
1126,79,1159,79,1217,457,1188,457,
1160,81,1192,81,1253,456,1217,456,
1189,63,1220,63,1287,455,1253,455,
1220,62,1259,62,1317,455,1287,455,
1259,66,1288,66,1357,453,1317,453,
1287,62,1324,62,1390,453,1357,453,
1325,65,1357,65,1422,453,1390,453,
1356,62,1388,62,1455,452,1422,452,
1389,70,1421,70,1487,450,1455,450,
1420,65,1454,65,1525,450,1487,450,
1454,66,1486,66,1558,450,1525,450,
1485,62,1515,62,1595,449,1558,449,
1517,70,1549,70,1631,448,1595,448,
1547,62,1579,62,1669,448,1631,448,
1579,60,1611,60,1705,447,1668,447,
1611,60,1640,60,1745,447,1705,447,
1640,60,1682,60,1783,446,1744,446,
1683,63,1725,63,1824,446,1783,446,
1725,65,1755,65,1859,445,1823,445,
1755,68,1792,68,1891,445,1859,445,
1790,60,1827,60,1926,444,1890,444,
1827,60,1861,60,1959,440,1925,440,
1861,60,1898,60,1992,440,1959,440,
1898,60,1937,60,2027,440,1992,440,
1937,60,1974,60,2060,436,2027,436,
1976,68,2018,68,2098,436,2060,436,
2018,68,2060,68,2134,435,2098,435,
2060,68,2103,68,2174,436,2134,436,
2102,62,2117,62,2179,436,2174,436,
2118,66,2153,66,2218,435,2179,435,
2152,63,2201,63,2260,435,2218,435,
2201,63,2248,63,2290,431,2259,431,
2248,60,2291,60,2324,431,2290,431,
2291,60,2334,60,2350,429,2324,429,
2334,60,2400,60,2414,430,2350,430,
2401,80,2413,80,2413,479,2416,479,
