0,39,401,39,405,468,0,468,
401,48,445,48,451,529,405,529,
445,39,457,39,457,530,452,530,
457,50,493,50,509,530,457,530,
493,50,533,50,553,530,509,530,
533,50,576,50,596,530,553,530,
576,52,613,52,643,530,596,530,
613,54,653,54,686,530,643,530,
653,55,691,55,726,530,686,530,
691,54,728,54,767,530,726,530,
728,55,766,55,808,530,767,530,
766,60,804,60,845,530,808,530,
804,60,846,60,886,530,845,530,
846,60,882,60,925,530,886,530,
882,61,926,61,971,530,925,530,
926,61,968,61,1014,530,971,530,
968,62,1008,62,1053,530,1014,530,
1008,64,1045,64,1094,530,1053,530,
1045,66,1089,66,1137,530,1094,530,
1089,64,1132,64,1182,530,1137,530,
1132,62,1171,62,1221,530,1182,530,
1171,68,1207,68,1256,530,1221,530,
1207,68,1245,68,1296,530,1256,530,
1245,68,1280,68,1330,530,1296,530,
1280,70,1321,70,1371,528,1330,528,
1321,70,1359,70,1411,530,1371,530,
1360,81,1398,81,1449,530,1411,530,
1396,70,1434,70,1489,530,1449,530,
1434,71,1475,71,1529,530,1489,530,
1475,71,1513,71,1569,530,1529,530,
1514,73,1551,73,1609,530,1569,530,
1551,74,1589,74,1649,530,1609,530,
1589,74,1625,74,1687,530,1649,530,
1625,75,1662,75,1729,530,1687,530,
1662,75,1699,75,1768,530,1729,530,
1699,76,1737,76,1812,530,1768,530,
1737,76,1772,76,1857,530,1812,530,
1772,79,1809,79,1898,530,1857,530,
1809,79,1845,79,1935,524,1896,524,
1846,84,1891,84,1984,528,1936,528,
1890,79,1902,79,1969,409,1959,409,
1903,88,1942,88,2010,410,1969,410,
1943,90,1976,90,2045,407,2009,407,
1976,90,2019,90,2087,407,2045,407,
2019,90,2062,90,2129,410,2087,410,
2063,93,2102,93,2168,407,2129,407,
2103,95,2143,95,2231,527,2193,527,
2143,93,2160,93,2242,528,2231,528,
2160,96,2192,96,2259,443,2226,443,
2193,98,2204,98,2262,411,2253,411,
2203,97,2238,97,2316,528,2283,528,
2238,99,2281,99,2358,527,2316,527,
2281,99,2296,99,2369,527,2358,527,
2296,101,2333,101,2406,527,2369,527,
2333,100,2379,100,2449,527,2406,527,
2379,100,2396,100,2444,411,2430,411,
2396,101,2449,101,2493,414,2444,414,
2449,101,2457,101,2496,415,2493,415,
2457,101,2496,101,2538,418,2496,418,
2496,101,2526,101,2555,418,2538,418,
2526,105,2554,105,2593,530,2565,530,
2553,87,2580,87,2604,530,2593,530,
2580,90,2609,90,2632,528,2604,528,
2609,98,2627,98,2639,445,2628,445,
2627,101,2656,101,2669,530,2642,530,
2654,39,2738,39,2738,530,2669,530,
