0,0,60,0,77,576,0,576,
61,39,99,39,117,576,77,576,
99,39,139,39,150,500,114,500,
139,39,171,39,186,500,150,500,
171,40,207,40,220,576,188,576,
207,41,245,41,257,505,219,505,
245,41,283,41,293,456,255,456,
283,43,322,43,337,455,293,455,
321,42,364,42,374,456,337,456,
364,34,410,34,416,509,375,509,
410,34,459,34,468,510,416,510,
459,35,518,35,521,510,468,510,
518,34,572,34,574,511,521,511,
572,35,626,35,625,512,574,512,
626,0,641,0,618,510,625,510,
639,35,676,35,674,511,618,511,
676,35,726,35,724,511,674,511,
726,35,784,35,776,513,724,513,
784,35,835,35,825,513,776,513,
835,32,892,32,878,506,825,506,
892,36,947,36,934,503,878,503,
946,65,979,65,963,501,934,501,
980,62,1012,62,999,503,963,503,
1011,104,1018,104,997,503,999,503,
1022,35,1052,35,1034,503,997,503,
1052,34,1081,34,1068,503,1034,503,
1080,66,1123,66,1097,504,1068,504,
1125,43,1159,43,1131,504,1097,504,
1159,42,1193,42,1169,504,1131,504,
1193,43,1230,43,1202,504,1169,504,
1230,42,1266,42,1237,504,1202,504,
1265,64,1301,64,1273,504,1237,504,
1305,0,1341,0,1309,504,1273,504,
1339,29,1396,29,1363,507,1309,507,
1395,30,1434,30,1401,507,1363,507,
1432,59,1469,59,1434,502,1402,502,
1470,46,1508,46,1472,571,1429,571,
1508,46,1546,46,1512,573,1472,573,
1545,69,1584,69,1558,501,1516,501,
1584,71,1619,71,1593,504,1558,504,
1619,75,1652,75,1628,504,1593,504,
1654,48,1692,48,1660,505,1628,505,
1692,47,1721,47,1697,501,1660,501,
1719,76,1755,76,1732,506,1697,506,
1756,49,1790,49,1767,503,1732,503,
1790,63,1825,63,1799,506,1767,506,
1829,0,1864,0,1836,497,1800,497,
1860,78,1894,78,1873,500,1836,500,
1895,73,1930,73,1908,507,1872,507,
1930,75,1967,75,1945,506,1908,506,
1967,76,2004,76,1979,509,1945,509,
2005,55,2040,55,2016,511,1979,511,
2040,55,2071,55,2047,512,2016,512,
2070,74,2105,74,2085,518,2047,518,
2106,62,2153,62,2129,526,2084,526,
2153,60,2189,60,2165,524,2129,524,
2188,83,2213,83,2190,524,2165,524,
2213,71,2242,71,2217,524,2190,524,
2242,71,2271,71,2246,525,2217,525,
2270,82,2375,82,2353,511,2247,511,
2380,0,2404,0,2376,523,2352,523,
2399,82,2441,82,2418,523,2376,523,
2441,77,2477,77,2458,523,2418,523,
2480,4,2522,4,2496,513,2458,513,
2522,4,2548,4,2534,568,2493,568,
2548,4,2626,4,2598,545,2534,545,
2626,6,2695,6,2675,547,2598,547,
2692,86,2695,86,2668,543,2675,543,
