0,31,23,31,38,477,0,477,
23,34,94,34,95,477,38,477,
94,35,146,35,148,458,95,458,
146,36,202,36,209,459,148,459,
202,41,242,41,245,456,209,456,
242,31,252,31,245,477,245,477,
252,41,287,41,289,456,245,456,
287,41,326,41,327,459,289,459,
326,40,371,40,369,460,327,460,
371,41,409,41,405,460,369,460,
409,43,434,43,434,460,405,460,
434,42,455,42,452,477,434,477,
455,42,493,42,491,461,452,461,
493,43,539,43,531,477,491,477,
539,44,577,44,574,477,531,477,
577,46,619,46,610,462,574,462,
619,40,655,40,650,462,610,462,
655,44,678,44,666,463,650,463,
707,45,754,45,741,463,693,463,
754,46,803,46,781,464,741,464,
803,45,851,45,832,464,781,464,
851,46,898,46,881,464,832,464,
898,46,908,46,882,462,881,462,
908,46,940,46,922,465,882,465,
939,52,997,52,991,465,922,465,
997,52,1039,52,1040,466,991,466,
1039,53,1051,53,1044,461,1040,461,
1051,52,1072,52,1077,466,1044,466,
1084,50,1132,50,1151,466,1096,466,
1132,52,1175,52,1197,467,1151,467,
1175,52,1219,52,1235,467,1197,467,
1219,53,1252,53,1262,467,1235,467,
1252,54,1267,54,1276,467,1262,467,
1267,53,1303,53,1314,467,1276,467,
1303,51,1343,51,1354,467,1314,467,
1343,55,1375,55,1376,465,1354,465,
1375,56,1418,56,1423,467,1376,467,
1418,57,1429,57,1428,477,1423,477,
1429,57,1461,57,1466,465,1428,465,
1461,58,1500,58,1501,465,1466,465,
1500,57,1546,57,1553,467,1501,467,
1546,56,1573,56,1574,467,1553,467,
1573,31,1584,31,1588,465,1574,465,
1584,60,1620,60,1621,467,1588,467,
1620,60,1634,60,1635,467,1621,467,
1634,60,1659,60,1661,467,1635,467,
1659,31,1671,31,1671,467,1661,467,
1671,59,1705,59,1707,467,1671,467,
1705,60,1745,60,1742,467,1707,467,
1745,54,1786,54,1785,464,1742,464,
1786,59,1829,59,1826,467,1785,467,
1829,60,1869,60,1867,464,1826,464,
1869,60,1914,60,1913,464,1867,464,
1914,62,1942,62,1936,459,1913,459,
1942,61,1962,61,1962,464,1935,464,
1962,63,1989,63,1984,464,1962,464,
1989,62,2014,62,2015,464,1984,464,
2014,57,2032,57,2034,464,2015,464,
2032,63,2056,63,2056,461,2034,461,
2056,50,2093,50,2094,464,2056,464,
2093,67,2121,67,2121,461,2094,461,
2121,66,2143,66,2142,477,2121,477,
2143,64,2165,64,2167,461,2142,461,
2165,64,2208,64,2207,461,2167,461,
2208,31,2220,31,2197,477,2207,477,
2218,64,2247,64,2242,461,2197,461,
2247,65,2310,65,2304,467,2242,467,
2310,66,2350,66,2341,467,2304,467,
2350,66,2393,66,2379,467,2341,467,
2393,66,2404,66,2389,464,2379,464,
2440,31,2446,31,2446,477,2426,477,
