0,47,83,47,10,607,0,607,
84,42,402,42,351,620,8,620,
401,46,411,46,366,569,356,569,
711,160,825,160,792,578,682,578,
833,59,1144,59,1117,585,792,585,
1143,71,1447,71,1448,590,1116,590,
1447,40,1461,40,1461,592,1448,592,
1461,82,1510,82,1503,592,1461,592,
1510,98,1528,98,1522,593,1502,593,
1529,63,1572,63,1561,594,1522,594,
1572,87,1850,87,1836,599,1561,599,
1850,90,1863,90,1850,599,1836,599,
1863,75,2158,75,2143,621,1849,621,
2159,40,2183,40,2191,632,2143,632,
2184,116,2232,116,2238,635,2191,635,
2232,114,2242,114,2238,637,2238,637,
2243,104,2541,104,2541,632,2238,632,
2541,40,2699,40,2699,620,2541,620,
